brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Deer Park,0082657500638,not-applicable,water,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle', 'en:lid', 'en:bouteille', 'en:pet-bottle', 'en:plastic-1', 'en:plastic-bottle', 'en:plastic-lid']",1 plastic bottle to recycle.,100% Natural Spring  Water
Jif,0051500255377,d,"ROASTED PEANUTS, SUGAR, 2% MOLASSES, FULL HYDROGENATED VEGETABLE OILS (RAPESEED, SOYBEAN), MONO AND DIGLYCERIDES, SALT.","['en:plastic', 'en:pot']","Discard Seal, Rinse Jar, Replace Lid.",Extra Crunchy Peanut Butter
Walker's,0039047001152,c,"Wheat Flour,Butter (Cream (Milk, Salt)
(35%) , Sugar,Salt.","['en:plastic', 'en:cardboard', 'en:paperboard']",,Shortbread Fingers
Clif Bar,0722252100900,unknown,"ORGANIC ROLLED OATS, ORGANIC BROWN RICE SYRUP, SOY RICE CRISPS (SOY PROTEIN ISOLATE, RICE FLOUR, BARLEY MALT EXTRACT), ROASTED SOYBEANS, ORGANIC TAPIOCA SYRUP, ORGANIC CANE SYRUP, UNSWEETENED CHOCOLATE, CHICORY FIBER, ORGANIC SOY FLOUR, SUNFLOWER, SOYBEAN OIL, NATURAL FLAVORS, SALT, ORGANIC CINNAMON, MIXED TOCOPHEROLS (ANTIOXIDANT)",['en:plastic'],,Chocolate Chip
"Huy Fong Foods, Inc.",0024463061095,unknown,"Chilis, Zucker, Knoblauch, Salz, Essigsäure E260, Konservierungsmittel Kaliumsorbat E202, Konservierungsmittel Natriumbisulfit E222, Xanthan E415.","['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle', 'en:green-dot', 'en:pet-bottle']",,Sriracha Hot Chili Sauce
HEINZ,0013000001243,a,"concentrado de tomate, vinagre de alcohol destilado, jarabe de maíz, jarabe de maíz, sal, especias (ajo, pimienta roja), cebolla polvo, ARO, saborizante natural","['en:plastic', 'en:bottle-or-vial', 'en:bottle']",1 bote de plastico para reciclar.,Tomato Ketchup
Kirkland Signature,0096619313952,unknown,"WHOLE ROLLED OATS, SUGAR, CANOLA OIL, MOLASSES, SODIUM BICARBONATE, SOY LECITHIN, CORN SYRUP, CHOCOLATE LIQUOR, SOY LECITHIN, VANILLA EXTRACT, RICE FLOUR, CORN SYRUP SOLIDS, BARLEY MALT EXTRACT, CALCIUM CARBONATE, SALT, FRUCTOSE, SUGAR, CANOLA OIL, GLYCERIN, INVERT SUGAR, DRIED UNSWEETENED COCONUT, WHEAT FLAKES, WHEY POWDER, ASCORBIC ACID, ROSEMARY EXTRACT, NATURAL FLAVOR.  

CONTAINS: SOY, MILK, COCONUT AND WHEAT.",['en:plastic'],,Chocolate Chip Soft & Chewy Granola Bar
Lay's,0028400090858,b,"pasteurized milk, cheese cultures, salt, microbial enzymes, annatto color",['en:plastic'],,Classic Potato Chips
Aquafina,01210806,not-applicable,"SODIUM - Amount/ServingL % DV* 'VTotal:Fat Og Sodium Omg Totak$arb, Og Sugars Og ProtAïk0g Not a'iîhificant source of Other nutrients, * Percent Daily Values (DV) are based on a 2,000 calorie djet,","['en:plastic', 'en:bottle']",,Purified Drinking Water
"Freshona, Mike Mitchell's, Mike Mitchell's (Penny)",20166076,a,"Erdnusskerne geröstet 90,9%, Zucker, ganz gehärtetes Rapsöl, Speisesalz,","['en:plastic', 'en:pot']",,"Erdnussbutter, creamy"
